,Unnamed: 0,Crop Type,Planting Date,Weather Conditions,Soil Characteristics,Firtilizer Usage(kgs/arce),Crop Yield (bushels/acre)
0,363,Peppers,August 15th,"Rainy, cool, wet",Clay loam,45.359237,150.0000
1,55,Wheat,August 15th,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
2,331,Squash,August 15th,"Rainy, cool, wet",Clay loam,68.0388555,150.0000
3,79,Tomatoes,August 15th,"Sunny, warm, dry",Clay loam,45.359237,150.0000
4,80,Sugar Beans,August 15th,"Sunny, warm, humid",Sandy loam,54.4310844,30.0000
5,90,Maize,August 15th,"Rainy, cool, wet",Clay loam,45.359237,30.0000
6,91,Tomatoes,August 15th,"Sunny, warm, dry",Clay loam,54.4310844,150.0000
7,462,Peppers,August 15th,"Rainy, cool, wet",Sandy loam,45.359237,30.0000
8,457,Wheat,August 15th,"Sunny, warm, dry",Clay loam,68.0388555,150.0000
9,303,Pumpkins,August 15th,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
10,119,Cucumbers,August 15th,"Rainy, cool, wet",Silt loam,54.4310844,150.0000
11,122,Wheat,August 15th,"Sunny, warm, dry",Sandy loam,54.4310844,150.0000
12,478,Potatoes,August 15th,"Rainy, cool, wet",Sandy loam,54.4310844,150.0000
13,447,Maize,August 15th,"Rainy, cool, wet",Clay loam,54.4310844,30.0000
14,130,Peppers,August 15th,"Rainy, cool, wet",Sandy loam,45.359237,30.0000
15,425,Squash,August 15th,"Sunny, warm, humid",Silt loam,45.359237,30.0000
16,199,Maize,August 15th,"Sunny, warm, humid",Sandy loam,54.4310844,30.0000
17,200,Peppers,August 15th,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
18,208,Cucumbers,August 15th,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
19,263,Sugar Beans,August 15th,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
20,409,Soybeans,August 15th,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
21,257,Wheat,August 15th,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
22,255,Peppers,August 15th,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
23,243,Soybeans,August 15th,"Rainy, cool, wet",Clay loam,45.359237,30.0000
24,400,Soybeans,August 15th,"Rainy, cool, wet",Silt loam,68.0388555,30.0000
25,127,Sugar Beans,August 15th,"Sunny, warm, dry",Sandy loam,54.4310844,40.0000
26,31,Tomatoes,August 15th,"Rainy, cool, wet",Clay loam,45.359237,150.0000
27,387,Wheat,August 15th,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
28,350,Sugar Beans,August 15th,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
29,23,Sugar Beans,August 15th,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
30,355,Soybeans,August 15th,"Sunny, warm, humid",Sandy loam,45.359237,30.0000
31,490,Maize,August 15th,"Sunny, warm, dry",Clay loam,68.0388555,150.0000
32,276,Potatoes,August 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
33,278,Maize,August 1st,"Sunny, warm, humid",Silt loam,45.359237,40.0000
34,160,Peppers,August 1st,"Rainy, cool, wet",Silt loam,45.359237,150.0000
35,281,Sugar Beans,August 1st,"Sunny, warm, humid",Silt loam,45.359237,40.0000
36,144,Pumpkins,August 1st,"Rainy, cool, wet",Sandy loam,54.4310844,30.0000
37,286,Maize,August 1st,"Sunny, warm, humid",Silt loam,45.359237,30.0000
38,288,Squash,August 1st,"Rainy, cool, wet",Sandy loam,45.359237,150.0000
39,294,Squash,August 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
40,385,Maize,August 1st,"Sunny, warm, dry",Sandy loam,45.359237,30.0000
41,487,Sugar Beans,August 1st,"Rainy, cool, wet",Silt loam,45.359237,150.0000
42,483,Peppers,August 1st,"Rainy, cool, wet",Silt loam,68.0388555,30.0000
43,121,Sugar Beans,August 1st,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
44,117,Peppers,August 1st,"Sunny, warm, humid",Clay loam,68.0388555,40.0000
45,451,Potatoes,August 1st,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
46,308,Peppers,August 1st,"Sunny, warm, dry",Clay loam,45.359237,40.0000
47,109,Cucumbers,August 1st,"Sunny, warm, dry",Sandy loam,54.4310844,150.0000
48,353,Potatoes,August 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
49,314,Pumpkins,August 1st,"Sunny, warm, humid",Sandy loam,54.4310844,40.0000
50,98,Wheat,August 1st,"Sunny, warm, humid",Clay loam,68.0388555,40.0000
51,319,Potatoes,August 1st,"Sunny, warm, dry",Clay loam,45.359237,150.0000
52,123,Tomatoes,August 1st,"Sunny, warm, dry",Silt loam,68.0388555,150.0000
53,177,Maize,August 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
54,390,Tomatoes,August 1st,"Sunny, warm, humid",Sandy loam,68.0388555,150.0000
55,182,Squash,August 1st,"Sunny, warm, humid",Silt loam,68.0388555,30.0000
56,250,Potatoes,August 1st,"Rainy, cool, wet",Clay loam,68.0388555,40.0000
57,247,Peppers,August 1st,"Sunny, warm, humid",Sandy loam,54.4310844,150.0000
58,244,Peppers,August 1st,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
59,403,Squash,August 1st,"Sunny, warm, dry",Silt loam,68.0388555,40.0000
60,238,Sugar Beans,August 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
61,234,Sugar Beans,August 1st,"Sunny, warm, humid",Silt loam,45.359237,30.0000
62,357,Wheat,August 1st,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
63,230,Pumpkins,August 1st,"Sunny, warm, dry",Silt loam,68.0388555,30.0000
64,396,Sugar Beans,August 1st,"Sunny, warm, dry",Silt loam,54.4310844,150.0000
65,5,Soybeans,August 1st,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
66,467,Wheat,August 1st,"Sunny, warm, humid",Silt loam,54.4310844,150.0000
67,219,Sugar Beans,August 1st,"Sunny, warm, humid",Clay loam,54.4310844,40.0000
68,264,Potatoes,August 1st,"Rainy, cool, wet",Sandy loam,45.359237,150.0000
69,210,Pumpkins,August 1st,"Rainy, cool, wet",Sandy loam,68.0388555,150.0000
70,356,Pumpkins,August 1st,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
71,205,Pumpkins,August 1st,"Rainy, cool, wet",Silt loam,54.4310844,40.0000
72,204,Peppers,August 1st,"Sunny, warm, humid",Silt loam,45.359237,30.0000
73,495,Potatoes,August 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
74,269,Pumpkins,August 1st,"Sunny, warm, dry",Sandy loam,45.359237,30.0000
75,421,Wheat,August 1st,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
76,189,Pumpkins,August 1st,"Sunny, warm, dry",Sandy loam,54.4310844,40.0000
77,187,Sugar Beans,August 1st,"Sunny, warm, dry",Sandy loam,45.359237,40.0000
78,413,Wheat,August 1st,"Sunny, warm, humid",Clay loam,68.0388555,150.0000
79,178,Soybeans,August 1st,"Sunny, warm, dry",Clay loam,45.359237,150.0000
80,252,Peppers,August 1st,"Sunny, warm, dry",Sandy loam,68.0388555,150.0000
81,73,Pumpkins,August 1st,"Sunny, warm, humid",Clay loam,54.4310844,150.0000
82,340,Sugar Beans,August 1st,"Sunny, warm, humid",Silt loam,45.359237,150.0000
83,379,Cucumbers,August 1st,"Sunny, warm, humid",Clay loam,54.4310844,40.0000
84,25,Sugar Beans,August 1st,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
85,322,Sugar Beans,August 1st,"Sunny, warm, dry",Silt loam,45.359237,150.0000
86,41,Wheat,August 1st,"Rainy, cool, wet",Silt loam,45.359237,30.0000
87,52,Wheat,August 1st,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
88,33,Cucumbers,August 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
89,61,Squash,August 1st,"Rainy, cool, wet",Sandy loam,68.0388555,150.0000
90,50,Soybeans,August 1st,"Sunny, warm, dry",Clay loam,54.4310844,150.0000
91,369,Soybeans,August 1st,"Rainy, cool, wet",Silt loam,68.0388555,150.0000
92,169,Wheat,July 15th,"Rainy, cool, wet",Sandy loam,45.359237,30.0000
93,334,Soybeans,July 15th,"Sunny, warm, humid",Sandy loam,54.4310844,40.0000
94,175,Maize,July 15th,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
95,273,Peppers,July 15th,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
96,171,Potatoes,July 15th,"Sunny, warm, dry",Silt loam,68.0388555,40.0000
97,374,Pumpkins,July 15th,"Sunny, warm, dry",Clay loam,54.4310844,150.0000
98,81,Tomatoes,July 15th,"Rainy, cool, wet",Clay loam,45.359237,150.0000
99,22,Peppers,July 15th,"Rainy, cool, wet",Silt loam,45.359237,150.0000
100,180,Cucumbers,July 15th,"Rainy, cool, wet",Sandy loam,45.359237,150.0000
101,375,Wheat,July 15th,"Sunny, warm, dry",Silt loam,68.0388555,150.0000
102,159,Wheat,July 15th,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
103,432,Pumpkins,July 15th,"Rainy, cool, wet",Sandy loam,68.0388555,150.0000
104,156,Soybeans,July 15th,"Sunny, warm, dry",Silt loam,45.359237,30.0000
105,433,Potatoes,July 15th,"Sunny, warm, dry",Sandy loam,45.359237,30.0000
106,58,Pumpkins,July 15th,"Rainy, cool, wet",Clay loam,45.359237,30.0000
107,377,Peppers,July 15th,"Sunny, warm, dry",Clay loam,45.359237,150.0000
108,274,Soybeans,July 15th,"Sunny, warm, dry",Sandy loam,45.359237,40.0000
109,431,Sugar Beans,July 15th,"Rainy, cool, wet",Clay loam,54.4310844,150.0000
110,49,Tomatoes,July 15th,"Sunny, warm, humid",Sandy loam,54.4310844,30.0000
111,424,Sugar Beans,July 15th,"Rainy, cool, wet",Silt loam,68.0388555,30.0000
112,245,Pumpkins,July 15th,"Sunny, warm, dry",Silt loam,45.359237,40.0000
113,2,Maize,July 15th,"Rainy, cool, wet",Clay loam,54.4310844,40.0000
114,237,Soybeans,July 15th,"Rainy, cool, wet",Clay loam,68.0388555,40.0000
115,407,Cucumbers,July 15th,"Rainy, cool, wet",Silt loam,45.359237,30.0000
116,228,Cucumbers,July 15th,"Sunny, warm, dry",Silt loam,68.0388555,30.0000
117,398,Wheat,July 15th,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
118,224,Peppers,July 15th,"Sunny, warm, humid",Silt loam,68.0388555,30.0000
119,220,Peppers,July 15th,"Sunny, warm, dry",Clay loam,54.4310844,150.0000
120,342,Soybeans,July 15th,"Sunny, warm, humid",Clay loam,68.0388555,150.0000
121,217,Potatoes,July 15th,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
122,496,Soybeans,July 15th,"Sunny, warm, humid",Sandy loam,45.359237,30.0000
123,412,Soybeans,July 15th,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
124,201,Cucumbers,July 15th,"Rainy, cool, wet",Sandy loam,45.359237,40.0000
125,494,Peppers,July 15th,"Sunny, warm, dry",Sandy loam,54.4310844,40.0000
126,197,Cucumbers,July 15th,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
127,195,Potatoes,July 15th,"Sunny, warm, humid",Clay loam,45.359237,150.0000
128,420,Peppers,July 15th,"Sunny, warm, humid",Sandy loam,68.0388555,40.0000
129,338,Potatoes,July 15th,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
130,347,Maize,July 15th,"Sunny, warm, dry",Clay loam,68.0388555,150.0000
131,373,Pumpkins,July 15th,"Sunny, warm, humid",Silt loam,68.0388555,150.0000
132,292,Squash,July 15th,"Rainy, cool, wet",Sandy loam,45.359237,40.0000
133,368,Sugar Beans,July 15th,"Sunny, warm, dry",Sandy loam,68.0388555,30.0000
134,469,Tomatoes,July 15th,"Sunny, warm, humid",Clay loam,68.0388555,40.0000
135,75,Tomatoes,July 15th,"Sunny, warm, humid",Clay loam,45.359237,40.0000
136,94,Pumpkins,July 15th,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
137,133,Sugar Beans,July 15th,"Sunny, warm, dry",Silt loam,68.0388555,40.0000
138,464,Potatoes,July 15th,"Sunny, warm, dry",Sandy loam,68.0388555,40.0000
139,468,Squash,July 15th,"Sunny, warm, dry",Clay loam,45.359237,30.0000
140,120,Squash,July 15th,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
141,351,Pumpkins,July 15th,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
142,296,Soybeans,July 15th,"Sunny, warm, dry",Clay loam,45.359237,150.0000
143,16,Squash,July 15th,"Rainy, cool, wet",Silt loam,45.359237,40.0000
144,383,Squash,July 15th,"Rainy, cool, wet",Sandy loam,68.0388555,40.0000
145,309,Tomatoes,July 15th,"Sunny, warm, humid",Sandy loam,45.359237,30.0000
146,271,Potatoes,July 1st,"Rainy, cool, wet",Clay loam,54.4310844,40.0000
147,202,Potatoes,July 1st,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
148,460,Peppers,July 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
149,454,Wheat,July 1st,"Sunny, warm, dry",Sandy loam,68.0388555,40.0000
150,364,Peppers,July 1st,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
151,382,Sugar Beans,July 1st,"Sunny, warm, humid",Clay loam,45.359237,150.0000
152,311,Potatoes,July 1st,"Sunny, warm, humid",Sandy loam,68.0388555,30.0000
153,198,Peppers,July 1st,"Sunny, warm, dry",Sandy loam,45.359237,40.0000
154,313,Tomatoes,July 1st,"Rainy, cool, wet",Clay loam,54.4310844,150.0000
155,44,Maize,July 1st,"Rainy, cool, wet",Silt loam,54.4310844,150.0000
156,443,Maize,July 1st,"Rainy, cool, wet",Clay loam,54.4310844,150.0000
157,176,Squash,July 1st,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
158,29,Soybeans,July 1st,"Rainy, cool, wet",Clay loam,68.0388555,150.0000
159,498,Tomatoes,July 1st,"Sunny, warm, dry",Sandy loam,45.359237,150.0000
160,30,Maize,July 1st,"Rainy, cool, wet",Clay loam,68.0388555,150.0000
161,399,Maize,July 1st,"Sunny, warm, humid",Silt loam,54.4310844,150.0000
162,358,Soybeans,July 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
163,404,Soybeans,July 1st,"Sunny, warm, dry",Sandy loam,54.4310844,150.0000
164,86,Peppers,July 1st,"Rainy, cool, wet",Sandy loam,68.0388555,40.0000
165,229,Squash,July 1st,"Sunny, warm, dry",Clay loam,68.0388555,150.0000
166,480,Maize,July 1st,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
167,463,Potatoes,July 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
168,352,Potatoes,July 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
169,461,Tomatoes,July 1st,"Rainy, cool, wet",Clay loam,45.359237,40.0000
170,266,Sugar Beans,July 1st,"Rainy, cool, wet",Silt loam,45.359237,150.0000
171,209,Maize,July 1st,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
172,43,Sugar Beans,July 1st,"Sunny, warm, dry",Clay loam,54.4310844,40.0000
173,206,Cucumbers,July 1st,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
174,207,Potatoes,July 1st,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
175,275,Pumpkins,July 1st,"Rainy, cool, wet",Clay loam,54.4310844,150.0000
176,272,Squash,July 1st,"Rainy, cool, wet",Clay loam,68.0388555,40.0000
177,152,Soybeans,July 1st,"Rainy, cool, wet",Clay loam,45.359237,150.0000
178,153,Maize,July 1st,"Sunny, warm, humid",Clay loam,45.359237,30.0000
179,284,Wheat,July 1st,"Sunny, warm, humid",Silt loam,45.359237,150.0000
180,65,Sugar Beans,July 1st,"Rainy, cool, wet",Sandy loam,45.359237,30.0000
181,158,Wheat,July 1st,"Sunny, warm, dry",Clay loam,45.359237,150.0000
182,59,Squash,July 1st,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
183,327,Maize,July 1st,"Sunny, warm, dry",Sandy loam,45.359237,30.0000
184,445,Potatoes,July 1st,"Sunny, warm, humid",Sandy loam,68.0388555,150.0000
185,67,Potatoes,July 1st,"Sunny, warm, humid",Sandy loam,68.0388555,30.0000
186,297,Maize,July 1st,"Sunny, warm, humid",Silt loam,54.4310844,150.0000
187,69,Tomatoes,July 1st,"Sunny, warm, humid",Sandy loam,68.0388555,30.0000
188,15,Cucumbers,July 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
189,162,Pumpkins,July 1st,"Sunny, warm, dry",Clay loam,45.359237,30.0000
190,435,Tomatoes,July 1st,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
191,442,Potatoes,July 1st,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
192,293,Maize,July 1st,"Sunny, warm, humid",Sandy loam,45.359237,30.0000
193,427,Wheat,July 1st,"Sunny, warm, humid",Clay loam,45.359237,30.0000
194,170,Sugar Beans,July 1st,"Sunny, warm, dry",Clay loam,68.0388555,150.0000
195,437,Tomatoes,June 15th,"Sunny, warm, dry",Silt loam,45.359237,150.0000
196,221,Maize,June 15th,"Sunny, warm, humid",Silt loam,45.359237,30.0000
197,38,Pumpkins,June 15th,"Sunny, warm, dry",Sandy loam,68.0388555,40.0000
198,441,Maize,June 15th,"Sunny, warm, humid",Clay loam,45.359237,30.0000
199,261,Soybeans,June 15th,"Sunny, warm, dry",Silt loam,68.0388555,40.0000
200,371,Soybeans,June 15th,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
201,259,Wheat,June 15th,"Sunny, warm, humid",Silt loam,68.0388555,30.0000
202,285,Cucumbers,June 15th,"Rainy, cool, wet",Silt loam,54.4310844,40.0000
203,85,Tomatoes,June 15th,"Sunny, warm, dry",Sandy loam,68.0388555,30.0000
204,32,Tomatoes,June 15th,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
205,131,Wheat,June 15th,"Sunny, warm, humid",Clay loam,54.4310844,30.0000
206,289,Sugar Beans,June 15th,"Sunny, warm, humid",Silt loam,68.0388555,150.0000
207,370,Potatoes,June 15th,"Rainy, cool, wet",Sandy loam,68.0388555,30.0000
208,84,Maize,June 15th,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
209,406,Potatoes,June 15th,"Sunny, warm, dry",Clay loam,45.359237,30.0000
210,323,Potatoes,June 15th,"Sunny, warm, humid",Clay loam,68.0388555,30.0000
211,64,Pumpkins,June 15th,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
212,235,Wheat,June 15th,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
213,405,Sugar Beans,June 15th,"Rainy, cool, wet",Clay loam,54.4310844,40.0000
214,321,Maize,June 15th,"Sunny, warm, dry",Silt loam,45.359237,40.0000
215,392,Peppers,June 15th,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
216,164,Tomatoes,June 15th,"Rainy, cool, wet",Sandy loam,54.4310844,40.0000
217,72,Tomatoes,June 15th,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
218,325,Maize,June 15th,"Sunny, warm, humid",Silt loam,54.4310844,30.0000
219,452,Maize,June 15th,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
220,185,Cucumbers,June 15th,"Rainy, cool, wet",Silt loam,68.0388555,150.0000
221,186,Squash,June 15th,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
222,456,Pumpkins,June 15th,"Rainy, cool, wet",Silt loam,54.4310844,40.0000
223,270,Sugar Beans,June 15th,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
224,191,Wheat,June 15th,"Sunny, warm, humid",Silt loam,45.359237,150.0000
225,215,Sugar Beans,June 15th,"Sunny, warm, dry",Clay loam,54.4310844,150.0000
226,349,Tomatoes,June 15th,"Sunny, warm, humid",Silt loam,68.0388555,40.0000
227,393,Cucumbers,June 15th,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
228,339,Potatoes,June 15th,"Rainy, cool, wet",Clay loam,68.0388555,30.0000
229,341,Squash,June 15th,"Rainy, cool, wet",Silt loam,68.0388555,30.0000
230,203,Peppers,June 15th,"Sunny, warm, humid",Clay loam,68.0388555,150.0000
231,45,Pumpkins,June 15th,"Sunny, warm, dry",Clay loam,45.359237,40.0000
232,251,Tomatoes,June 15th,"Sunny, warm, humid",Silt loam,45.359237,150.0000
233,366,Tomatoes,June 15th,"Sunny, warm, humid",Clay loam,45.359237,30.0000
234,279,Peppers,June 15th,"Sunny, warm, humid",Clay loam,45.359237,40.0000
235,42,Cucumbers,June 15th,"Sunny, warm, dry",Clay loam,45.359237,40.0000
236,151,Cucumbers,June 15th,"Sunny, warm, humid",Sandy loam,45.359237,40.0000
237,100,Potatoes,June 15th,"Sunny, warm, dry",Sandy loam,54.4310844,150.0000
238,174,Cucumbers,June 15th,"Sunny, warm, humid",Sandy loam,45.359237,150.0000
239,305,Wheat,June 1st,"Rainy, cool, wet",Clay loam,54.4310844,30.0000
240,306,Potatoes,June 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
241,359,Sugar Beans,June 1st,"Sunny, warm, dry",Silt loam,54.4310844,40.0000
242,328,Squash,June 1st,"Sunny, warm, humid",Clay loam,54.4310844,40.0000
243,307,Maize,June 1st,"Sunny, warm, humid",Sandy loam,68.0388555,30.0000
244,332,Squash,June 1st,"Sunny, warm, humid",Clay loam,54.4310844,40.0000
245,320,Sugar Beans,June 1st,"Rainy, cool, wet",Silt loam,54.4310844,30.0000
246,254,Peppers,June 1st,"Rainy, cool, wet",Clay loam,45.359237,30.0000
247,394,Peppers,June 1st,"Sunny, warm, dry",Clay loam,68.0388555,30.0000
248,324,Squash,June 1st,"Sunny, warm, dry",Silt loam,68.0388555,40.0000
249,317,Potatoes,June 1st,"Sunny, warm, humid",Silt loam,54.4310844,40.0000
250,267,Wheat,June 1st,"Rainy, cool, wet",Silt loam,45.359237,40.0000
251,348,Maize,June 1st,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
252,315,Peppers,June 1st,"Sunny, warm, dry",Sandy loam,54.4310844,30.0000
